Longitude,Latitude,Source,Impact
-81.66261,36.11706,"S2,UA",Building
-81.66558,36.11816,S2,NONE
-82.26495,35.84739,S2,Road
-81.91507,36.13355,S2,NONE
-81.97178,36.07706,S2,Road
-83.12198,35.23521,UA,UNCLEAR
-82.24723,35.82719,UA,UNCLEAR
-81.86342,36.24594,S2,Road
-82.97056,35.46028,PC,UNCLEAR
-82.32717,35.92624,S2,Building
-82.32414,35.92815,S2,NONE
-82.31789,35.92733,S2,Road
-82.09452,35.94729,S2,Road
-82.09366,35.94767,S2,Road
-82.09371,35.94887,S2,Road
-82.09283,35.95031,S2,Road
-82.09239,35.94828,S2,Road
-82.09378,35.94718,S2,Road
-82.33494,35.92048,S2,Building
-82.33320,35.92100,S2,Building
-82.34071,35.91790,S2,Building
-82.24696,35.85084,"S2,UA",NONE
-82.18669,35.86938,"PL,S2,UA",Road
-82.19504,35.87166,"S2,UA",Building
-81.97219,35.95052,S2,NONE
-81.97176,35.94995,S2,NONE
-82.41214,35.46550,S2,UNCLEAR
-82.40411,35.46276,S2,River
-82.40425,35.46204,S2,River
-82.40667,35.46318,S2,NONE
-82.40766,35.46615,S2,River
-82.20699,35.87308,UA,NONE
-82.39637,35.47283,S2,River
-82.20424,35.88390,"S2,UA",NONE
-81.90878,36.06145,S2,Building
-82.38545,35.57705,S2,Road
-82.37983,35.57706,"NO,S2",Road
-82.20087,35.86379,"S2,UA",Building
-81.89727,36.12465,S2,NONE
-82.38062,35.49200,S2,Various
-82.34815,35.47472,"S2,UA",Building
-82.35991,35.47554,S2,Road
-82.35623,35.46335,S2,NONE
-82.37218,35.44149,S2,Road
-82.35593,35.43997,S2,NONE
-82.33827,35.55954,S2,Various
-82.33430,35.56886,S2,Various
-82.33440,35.56544,S2,Various
-82.31685,35.54502,"S2,UA",NONE
-82.31552,35.54683,"S2,UA",NONE
-82.31527,35.54767,S2,NONE
-82.20651,35.72291,S2,Road
-82.19742,35.72456,S2,Road
-82.23601,35.75574,"S2,UA",Various
-82.21647,35.68755,S2,Various
-82.22993,35.68404,S2,Road
-82.23157,35.69235,S2,Road
-82.22837,35.69228,S2,Road
-82.23812,35.65164,S2,Various
-82.23754,35.65246,S2,Various
-82.26313,35.63970,S2,Road
-82.25436,35.64186,S2,Other
-82.25301,35.64081,S2,Other
-82.23824,35.63573,S2,Other
-82.23579,35.63585,S2,Other
-82.26292,35.63458,S2,UNCLEAR
-82.26286,35.62694,S2,Other
-82.25840,35.62836,S2,Other
-81.69416,36.22580,"FO,MR",Various
-82.49642,35.61047,"NO,UA",Road
-83.11444,35.79472,"CAP,UA",Road
-83.12472,35.79583,"CAP,UA",Road
-83.13639,35.80472,"CAP,UA",Road
-81.73367,36.23353,FO,River
-81.73558,36.23174,FO,Building
-82.17438,35.86493,"S2,UA",River
-81.75838,36.25807,FO,Building
-81.75718,36.25249,FO,Road
-82.17398,35.86788,UA,Building
-81.73552,36.24384,FO,Various
-82.17516,35.87130,"S2,UA",Road
-83.16528,35.98833,CAP,Road
-83.12573,35.23351,UA,Other
-82.17715,35.87317,UA,Building
-81.73896,36.24320,FO,Building
-81.73415,36.24293,FO,Building
-81.73379,36.24252,FO,Building
-81.73755,36.24127,FO,Various
-81.73658,36.24216,FO,Road
-82.14090,35.84463,"S2,UA",River
-82.14984,35.84181,"S2,UA",Building
-82.14784,35.83307,"S2,UA",Road
-82.34123,35.53176,S2,NONE
-82.32722,35.52839,S2,UNCLEAR
-82.30438,35.50292,S2,UNCLEAR
-82.33069,35.49880,S2,Road
-82.31861,35.48646,"PL,S2",Building
-82.32719,35.49257,S2,NONE
-82.13315,35.85497,"S2,UA",Road
-82.30991,35.48166,S2,Road
-82.34654,35.58631,"FO,NO",UNCLEAR
-82.29715,35.43351,S2,Various
-81.64715,36.17073,"NO,PC,S2",NONE
-82.11839,35.87972,UA,NONE
-81.64770,36.18039,PC,Road
-81.74236,36.24428,FO,Building
-82.26047,35.55973,S2,River
-81.74308,36.24429,FO,Building
-82.29043,35.54294,S2,NONE
-83.19061,35.10449,UA,NONE
-83.17768,35.10319,UA,NONE
-82.27590,35.52458,S2,Various
-82.26692,35.51841,S2,Other
-82.28641,35.52779,S2,UNCLEAR
-82.28674,35.49608,"S2,UA",NONE
-82.23175,35.51263,S2,NONE
-82.24118,35.46715,"PL,S2",NONE
-81.74665,36.24401,FO,NONE
-81.74755,36.24476,FO,Other
-82.45301,36.19620,UA,Road
-83.58625,35.73508,"S2,UA",Road
-83.58526,35.73737,"S2,UA",Road
-83.58518,35.73547,"S2,UA",Road
-81.75379,36.24456,FO,Other
-83.60420,35.73342,"S2,UA",Building
-83.03306,36.09222,CAP,Building
-81.74949,36.23697,FO,River
-81.99004,35.87900,S2,Road
-82.48615,35.65240,"S2,UA",Road
-81.74148,36.24280,FO,NONE
-83.59862,35.72874,UA,Road
-81.74207,36.24114,FO,Other
-83.59785,35.72769,UA,Road
-81.96481,35.87542,S2,NONE
-81.95269,35.88518,S2,NONE
-81.90138,35.88662,S2,NONE
-82.14351,35.80385,S2,NONE
-82.19686,35.76085,S2,Road
-82.99333,36.08250,CAP,Road
-81.95160,35.92136,S2,NONE
-81.95219,35.91729,S2,NONE
-81.94966,35.91582,S2,NONE
-81.94440,35.91096,"S2,UA",Other
-81.86961,36.49298,S2,NONE
-81.77887,36.49387,S2,Other
-82.13705,35.73037,S2,Road
-82.86667,36.06583,CAP,Other
-82.14615,35.73085,S2,NONE
-81.96329,35.95676,S2,Road
-82.02566,35.98211,S2,NONE
-82.49007,35.64858,"NO,UA",Road
-81.97272,36.09457,S2,Road
-81.97964,36.09702,S2,Building
-81.98213,36.09692,S2,Road
-81.99089,36.09164,"NO,S2",Building
-81.96819,36.08873,S2,Building
-81.95349,35.88752,S2,NONE
-81.94997,35.89225,S2,NONE
-81.95060,35.89294,S2,NONE
-81.94046,35.92506,S2,River
-81.93911,35.92140,"S2,UA",River
-81.94775,35.92639,S2,River
-81.94592,35.93115,S2,River
-81.94382,35.93020,S2,River
-82.03309,36.00685,"NO,S2",Road
-81.97788,36.02660,S2,Various
-81.98043,36.10946,S2,NONE
-82.14657,35.83831,UA,Road
-81.93701,36.03695,S2,NONE
-81.93600,36.03913,S2,NONE
-81.93049,36.05921,S2,Other
-81.92928,36.05883,S2,Other
-81.92516,36.04808,S2,River
-81.92524,36.04716,S2,River
-81.92807,36.05041,"S2,UA",River
-81.92789,36.05115,"S2,UA",River
-81.95879,36.09776,"S2,UA",River
-81.95794,36.09676,"S2,UA",River
-81.95109,36.09637,S2,Road
-81.93144,36.04346,S2,NONE
-81.91204,36.05766,S2,NONE
-81.95001,36.10308,S2,NONE
-81.94967,35.88919,S2,Various
-82.19252,35.80482,"S2,UA",Building
-82.37198,35.81128,UA,NONE
-82.31191,35.87108,S2,Building
-82.30333,35.88272,"S2,UA",Building
-82.30053,35.88614,"S2,UA",Building
-82.29468,35.88327,"S2,UA",Road
-82.29471,35.88279,"S2,UA",Road
-82.29459,35.88194,"S2,UA",Road
-82.29451,35.88115,"S2,UA",Road
-81.67609,36.22411,FO,Road
-81.68217,36.22951,FO,NONE
-81.68265,36.23002,FO,Road
-81.76305,36.31830,FO,Road
-81.75693,36.32820,FO,River
-81.75433,36.33147,FO,Road
-81.75372,36.33198,FO,Other
-81.75249,36.33231,FO,Road
-81.68238,36.36212,FO,Other
-81.68054,36.36286,FO,Other
-81.68016,36.36255,FO,Other
-81.67838,36.36335,FO,Road
-81.67753,36.36868,FO,Road
-81.67282,36.37189,FO,Road
-81.69898,36.39009,FO,Road
-81.70573,36.38525,FO,Road
-81.71729,36.37306,FO,Road
-81.75898,36.37580,FO,Other
-81.65214,36.11531,"S2,UA",Other
-82.15072,35.75135,FO,Road
-82.15195,35.75139,FO,Road
-82.15260,35.75156,S2,Road
-82.15387,35.75533,S2,Road
-82.09787,35.84575,FO,Road
-81.75351,36.35158,FO,Other
-81.65489,36.11495,UA,Building
-82.36792,35.17191,S2,River
-82.32595,35.17806,S2,Other
-82.34369,35.17428,S2,Other
-82.32175,35.15376,S2,River
-82.30734,35.16109,S2,NONE
-82.31484,35.14701,"S2,UA",Road
-81.67693,36.12033,UA,NONE
-82.31029,35.39791,S2,Road
-82.30741,35.39774,S2,Road
-82.21907,35.50983,S2,Other
-82.21767,35.50987,S2,Other
-82.19197,35.48232,S2,Other
-82.19225,35.48062,S2,Other
-82.18745,35.48540,S2,Other
-82.17307,35.47451,S2,NONE
-82.30352,35.40502,S2,Road
-81.72269,36.11285,UA,Road
-82.29077,35.46587,S2,River
-82.29199,35.42210,S2,River
-82.29878,35.42577,S2,NONE
-82.29463,35.43103,S2,NONE
-82.29532,35.43288,S2,Various
-82.28424,35.45486,S2,NONE
-82.28355,35.45476,S2,NONE
-82.28187,35.45419,S2,Road
-82.28106,35.45537,S2,Road
-82.27877,35.45565,S2,NONE
-82.27831,35.45515,S2,NONE
-82.29095,35.44544,"S2,UA",Road
-82.30131,35.47072,"S2,UA",NONE
-82.30001,35.47321,"S2,UA",Building
-82.35730,35.23218,S2,Road
-82.30008,35.41761,S2,NONE
-82.31055,35.46412,S2,Road
-82.30004,35.47679,S2,Road
-82.19252,35.48961,S2,River
-81.59444,36.15832,UA,Road
-81.73458,36.32840,FO,Road
-81.75217,36.31355,FO,Road
-81.75002,36.31429,FO,Various
-81.72641,36.23658,FO,Road
-81.73401,36.23598,FO,Road
-81.74042,36.23194,FO,Building
-81.74613,36.28801,FO,Road
-81.74598,36.28730,FO,Road
-81.74131,36.31461,FO,NONE
-81.75565,36.31509,FO,Other
-84.43546,35.29460,"PL,S2",UNCLEAR
-81.94421,36.17252,FO,Road
-83.63644,35.89638,"PL,S2",UNCLEAR
-83.63423,35.89772,"PL,S2",UNCLEAR
-83.62983,35.90018,"PL,S2",UNCLEAR
-83.64541,35.77414,"PL,S2",UNCLEAR
-82.70308,35.04528,S2,Other
-82.70076,35.04933,S2,Other
-82.70088,35.04832,S2,Other
-82.58053,35.12792,S2,River
-82.55719,35.13974,"S2,UA",NONE
-82.56949,35.13268,"S2,UA",NONE
-82.72583,36.15639,"CAP,MR",Road
-82.68306,36.20500,CAP,Road
-82.63778,36.19667,CAP,Road
-82.03968,35.80796,UA,NONE
-82.07364,35.89493,"PL,UA",Other
-82.63278,36.19250,CAP,Road
-81.98664,35.89915,"PL,UA",Road
-81.92983,35.90513,"PL,S2,UA",Building
-81.92940,35.90410,"PL,S2,UA",UNCLEAR
-82.59028,36.15583,CAP,Other
-81.89472,35.86857,"S2,UA",NONE
-81.89824,35.86666,"S2,UA",River
-82.35028,36.08250,CAP,Road
-81.88405,35.88493,"PL,S2",Road
-82.56111,35.95306,CAP,Road
-82.29256,35.72324,UA,Road
-82.29823,35.72808,"S2,UA",Road
-82.92917,35.93972,CAP,Other
-82.29665,35.71038,"S2,UA",River
-83.68019,35.69287,UA,UNCLEAR
-82.24370,35.65421,"PL,UA",Other
-82.66970,35.16528,S2,UNCLEAR
-82.66150,35.10649,S2,River
-81.93611,36.28778,CAP,River
-82.44123,35.42652,S2,Various
-82.44061,35.42718,S2,UNCLEAR
-82.42631,35.39855,S2,River
-82.39669,35.23454,S2,River
-82.39710,35.23418,S2,River
-82.39759,35.23386,S2,River
-82.39790,35.23361,S2,River
-82.41984,35.18735,S2,Road
-82.23357,35.64324,"S2,UA",Various
-81.65583,36.42944,CAP,Road
-82.69636,35.07390,S2,River
-82.20852,35.63151,"PL,S2,UA",Other
-81.50748,36.46755,"CAP,S2",Road
-82.69012,35.00719,S2,UNCLEAR
-81.49361,36.48528,CAP,Road
-82.64338,34.97691,S2,UNCLEAR
-82.41473,35.11311,S2,NONE
-82.40046,35.12631,S2,NONE
-82.35783,35.04005,S2,UNCLEAR
-82.56262,35.09398,S2,UNCLEAR
-82.38156,35.43333,S2,Various
-82.38505,35.41032,S2,River
-82.56284,35.13909,S2,NONE
-82.36406,35.28960,"NO,S2",UNCLEAR
-82.47171,35.08872,S2,Road
-82.35798,35.28985,"NO,S2",River
-82.35761,35.29185,"NO,S2",River
-82.35756,35.29234,"NO,S2",River
-82.35728,35.29263,"NO,S2",River
-82.35299,35.29602,"NO,S2",River
-82.34931,35.30352,S2,River
-82.38825,35.16643,S2,NONE
-82.43609,35.16626,S2,Road
-82.43427,35.16601,S2,Road
-82.34555,35.17364,S2,Other
-82.34129,35.17459,S2,Other
-82.32654,35.17277,S2,NONE
-82.30081,35.17373,S2,NONE
-82.31836,35.16081,S2,NONE
-82.32724,35.14604,S2,Road
-82.32067,35.14100,S2,Building
-82.30873,35.21828,S2,Road
-82.25369,35.21058,S2,UNCLEAR
-82.29607,35.16543,S2,NONE
-82.30424,35.16480,S2,NONE
-83.72798,35.75566,S2,UNCLEAR
-82.49722,35.65458,"FO,NO,PC,PL,S2",Road
-81.47626,36.35890,UA,Building
-82.16911,35.93415,"PL,S2,UA",Various
-82.16887,35.93452,"PL,S2,UA",Various
-82.16865,35.93479,"PL,S2,UA",Various
-82.16808,35.93518,"PL,S2,UA",Various
-81.48495,36.35972,S2,Road
-82.08496,36.00644,"PL,S2,UA",Road
-82.07316,36.02273,"S2,UA",Building
-82.00280,36.00102,"S2,UA",Road
-82.00162,36.00026,"S2,UA",Road
-81.97104,36.00804,"S2,UA",Building
-81.97143,36.00778,"S2,UA",NONE
-81.97597,36.00471,"NO,UA",Road
-82.06786,36.02596,"S2,UA",River
-82.06854,36.01509,"PL,S2",River
-82.10734,36.04428,"PL,S2",Road
-82.20063,35.42136,"S2,UA",Road
-82.10401,36.03533,"PL,S2",River
-82.10792,36.03019,"PL,S2,UA",NONE
-81.75929,36.27290,FO,Road
-82.27308,35.44106,UA,River
-81.57659,36.26224,FO,Road
-82.27323,35.44241,UA,NONE
-81.57623,36.26147,FO,Building
-82.28105,35.44243,UA,River
-81.58783,36.20149,S2,Road
-82.37406,35.26955,S2,UNCLEAR
-82.34886,35.26346,S2,NONE
-82.37803,35.23829,S2,Road
-82.37714,35.23851,S2,Road
-83.60421,35.90024,S2,Building
-82.36217,35.65783,"PC,S2",Road
-82.38519,35.27428,S2,NONE
-82.35432,35.66055,"PC,S2",Various
-82.35396,35.27914,S2,River
-82.34819,35.27413,S2,UNCLEAR
-82.34748,35.27239,S2,UNCLEAR
-82.34614,35.27284,"PL,S2",UNCLEAR
-82.36608,35.23088,S2,Road
-82.38093,35.19411,S2,NONE
-82.38235,35.19319,S2,NONE
-82.32264,35.36323,S2,UNCLEAR
-82.32466,35.59506,PC,Road
-82.32411,35.59590,NO,Various
-82.33121,35.26569,"S2,UA",River
-82.33060,35.26687,"S2,UA",River
-82.34194,35.27016,S2,River
-82.34103,35.26935,S2,River
-82.33820,35.21895,S2,River
-82.33966,35.22026,S2,Road
-82.34014,35.21928,S2,Road
-82.34070,35.21924,S2,Road
-82.34252,35.21898,S2,River
-82.34497,35.21886,S2,Road
-82.34146,35.58427,"FO,PL",Other
-81.60702,36.23251,S2,Road
-81.67310,35.56659,S2,NONE
-81.66564,35.56036,S2,NONE
-81.60914,35.57041,S2,River
-82.27767,35.42135,S2,Road
-82.24924,35.42034,S2,UNCLEAR
-82.51190,35.34421,FO,Road
-82.51123,35.34395,FO,Road
-82.50715,35.34723,FO,NONE
-82.29450,35.34166,S2,Various
-82.29505,35.33551,S2,Road
-82.29375,35.33145,S2,Road
-82.28019,35.31416,S2,UNCLEAR
-82.29284,35.30145,"PL,S2",NONE
-82.25152,35.27842,S2,River
-82.28841,35.25856,S2,UNCLEAR
-82.29187,35.25733,S2,UNCLEAR
-82.25996,35.24689,S2,Road
-82.25787,35.24663,S2,Road
-82.26784,35.23664,S2,Building
-82.74734,36.01614,S2,NONE
-82.81401,35.59574,S2,Road
-82.81768,35.59460,S2,Building
-82.81813,35.59298,S2,Building
-82.81901,35.59254,S2,Building
-82.81906,35.59195,S2,Building
-82.82288,35.61618,S2,NONE
-82.83208,35.60749,S2,NONE
-82.82648,35.61247,S2,NONE
-82.84888,35.58758,S2,NONE
-82.88512,35.62237,S2,UNCLEAR
-82.88877,35.62083,S2,UNCLEAR
-82.88263,35.62156,S2,UNCLEAR
-82.89004,35.61242,S2,UNCLEAR
-82.21254,35.27205,S2,Various
-82.21473,35.26999,S2,River
-82.87915,35.62527,S2,UNCLEAR
-82.89120,35.66425,S2,UNCLEAR
-82.90502,35.68905,S2,UNCLEAR
-82.90581,35.68864,S2,UNCLEAR
-82.91288,35.70955,S2,River
-83.09895,35.57742,S2,UNCLEAR
-83.14262,35.56304,S2,NONE
-81.57325,36.41520,UA,Road
-82.80856,35.58817,S2,Building
-82.81235,35.58487,S2,NONE
-82.81679,35.58245,S2,Building
-82.81632,35.57845,S2,NONE
-83.08136,35.76916,UA,Road
-83.67660,35.70533,UA,UNCLEAR
-83.05185,35.75719,UA,Road
-82.25147,35.56796,S2,River
-82.24621,35.57626,S2,UNCLEAR
-82.27279,35.51621,S2,Various
-82.25863,35.57166,UA,Road
-82.25959,35.57116,UA,Road
-82.26043,35.57089,UA,Road
-82.28086,35.57219,"S2,UA",Road
-82.26702,35.53829,"S2,UA",Various
-82.26616,35.53447,"S2,UA",UNCLEAR
-82.27631,35.50875,"S2,UA",Road
-82.27523,35.50855,"S2,UA",Road
-82.30329,35.50995,S2,Road
-82.30102,35.50570,S2,NONE
-82.30911,35.48442,"PL,S2",Road
-82.33675,35.58826,"FO,S2,UA",UNCLEAR
-82.02166,35.70597,S2,Road
-81.98203,35.70554,S2,Other
-82.34748,35.58248,FO,UNCLEAR
-82.34715,35.58188,FO,UNCLEAR
-82.34152,35.58701,"FO,S2,UA",Building
-82.19963,35.88645,S2,River
-82.17926,35.88385,S2,NONE
-82.20532,35.68662,S2,Road
-82.20981,35.68505,S2,Other
-82.15671,35.88100,"NO,S2",NONE
-82.14873,35.85815,S2,River
-82.24180,35.70049,S2,NONE
-82.23313,35.68213,S2,NONE
-82.23322,35.68830,S2,NONE
-82.23112,35.68935,S2,NONE
-82.16271,35.83707,S2,Other
-82.22532,35.68426,S2,Road
-82.22690,35.68733,S2,Road
-82.21546,35.72269,S2,Road
-82.21544,35.71641,S2,River
-82.23759,35.66846,S2,NONE
-82.13855,35.82844,S2,UNCLEAR
-82.12953,35.82293,S2,River
-82.16887,35.77391,S2,Road
-82.16727,35.77376,S2,Road
-82.21629,35.66601,S2,NONE
-82.21053,35.66132,S2,NONE
-82.22341,35.65246,S2,River
-82.21843,35.64916,S2,River
-82.20821,35.63566,S2,UNCLEAR
-82.09050,35.98765,S2,River
-82.24134,35.65220,"PL,S2",Road
-82.24104,35.65175,"PL,S2",Road
-82.24740,35.63572,S2,Other
-82.25001,35.63658,S2,Road
-82.11055,35.79453,S2,River
-82.11232,35.79284,S2,River
-82.25288,35.63650,"PL,S2",Other
-82.08571,35.81031,S2,NONE
-82.24656,35.64025,"PL,S2",NONE
-82.25459,35.63366,"PL,S2",Road
-82.27310,35.62856,S2,Road
-82.24179,35.60814,S2,NONE
-82.24784,35.60638,S2,River
-81.99225,35.79336,S2,NONE
-82.29428,35.58597,"PL,S2",Road
-82.29788,35.58419,"PL,S2",River
-82.29905,35.58577,"PL,S2",Road
-81.95008,36.08218,"S2,UA",Building
-81.93727,36.07193,"S2,UA",UNCLEAR
-81.93748,36.06986,"S2,UA",UNCLEAR
-81.93864,36.06640,S2,UNCLEAR
-81.91719,35.72524,"NO,S2",Other
-81.85907,36.01153,S2,Road
-81.89991,35.99315,S2,NONE
-81.86259,35.93193,S2,Road
-81.90811,35.85662,S2,NONE
-81.77313,36.05512,S2,River
-81.78128,36.00899,S2,NONE
-81.77890,35.98441,S2,River
-81.78239,35.98185,S2,River
-81.85914,36.00876,"S2,UA",Road
-82.61481,35.61027,"FO,S2",Road
-82.56593,35.65697,FO,Road
-82.54085,35.61795,FO,Road
-82.30553,35.61794,"FO,UA",Building
-82.36301,35.22613,UA,NONE
-82.36571,35.22540,UA,NONE
-82.34554,35.23198,UA,Other
-82.27401,35.27013,UA,Road
-82.37877,35.75232,"PC,S2",Road
-82.43913,35.72561,S2,NONE
-82.34740,35.62549,"NO,PL,S2",UNCLEAR
-82.40379,35.61667,"NO,S2",Road
-82.40426,35.61657,"NO,S2",Road
-82.39154,35.62193,"NO,PL,S2",Road
-82.39335,35.62040,"NO,PL,S2",Road
-82.39296,35.61958,"NO,PL,S2",Road
-82.39333,35.61921,"NO,PL,S2",Road
-82.39308,35.62136,"NO,PL,S2",Road
-82.35055,35.59430,"NO,S2",NONE
-82.36647,35.67394,S2,NONE
-82.29816,35.60979,"NO,S2",Building
-82.42760,35.64718,"PL,S2",River
-82.45579,35.55498,"NO,S2",Road
-82.37038,35.54631,"PL,S2",Road
-82.79116,35.50157,S2,NONE
-82.33378,35.57238,"PL,S2",Various
-82.33307,35.56669,"PL,S2",Various
-82.33762,35.56196,"PL,S2",Various
-82.32552,35.49793,"PL,S2",Road
-82.32608,35.50148,"PL,S2",Road
-82.32576,35.49890,"PL,S2",Road
-82.32651,35.50056,"PL,S2",Road
-82.28157,35.40228,S2,NONE
-82.29801,35.46617,S2,Road
-82.31379,35.47054,S2,NONE
-82.33366,35.47484,"PL,S2",Road
-82.33188,35.47390,"PL,S2",Road
-82.37608,35.46448,S2,NONE
-82.34395,35.52434,S2,Building
-83.11402,35.50409,S2,UNCLEAR
-82.34249,35.53002,S2,NONE
-83.11784,35.53584,S2,NONE
-82.35418,35.53503,"PL,S2,UA",Various
-82.95329,35.46831,S2,UNCLEAR
-82.32176,35.53241,"PL,S2",Building
-82.33369,35.52416,"PL,S2",Road
-82.32389,35.52349,S2,Building
-82.32145,35.41361,"PL,S2",Other
-82.31254,35.39758,"PL,S2",Road
-82.30664,35.39751,"PL,S2",Road
-82.29025,35.52375,"PL,S2",Building
-82.28642,35.51610,"PL,S2",Various
-82.32373,35.51479,"PL,S2",Building
-82.39351,35.45228,"PL,S2",NONE
-82.39978,35.40892,"PL,S2",NONE
-82.07914,35.50560,"S2,UA",Other
-81.58508,36.51387,"S2,UA",Building
-81.58709,36.51267,S2,Road
-82.28916,35.46140,"PL,UA",River
-82.28998,35.45922,"PL,UA",River
-82.29021,35.45868,"PL,UA",River
-82.29058,35.45573,UA,Building
-81.57373,36.51078,S2,Building
-81.63126,36.51907,"S2,UA",Road
-82.29228,35.44392,UA,Road
-82.29082,35.44719,"PL,UA",River
-82.29343,35.45729,"PL,UA",Other
-82.29441,35.45247,UA,Building
-81.58457,36.51439,"S2,UA",Building
-81.58451,36.51340,"S2,UA",Building
-82.30707,35.46971,UA,River
-82.38184,36.61743,S2,NONE
-82.31120,35.46183,"PL,UA",Road
-82.21574,36.66427,"PL,S2",NONE
-82.21445,36.66280,PL,UNCLEAR
-82.22520,36.66701,S2,Other
-82.24317,36.68495,"PL,S2",NONE
-82.25505,36.67729,"PL,S2",NONE
-82.26660,36.64807,"PL,S2",NONE
-82.31196,36.66758,"PL,S2",Other
-82.30639,35.61303,"PL,UA",Other
-82.30585,35.61416,"PL,UA",Other
-82.30337,35.61629,"PL,UA",Road
-81.15290,36.85736,S2,UNCLEAR
-81.15333,36.69700,S2,NONE
-81.18183,36.65540,S2,NONE
-81.17063,36.64811,S2,Various
-81.19581,36.63125,S2,River
-81.64504,36.12561,S2,NONE
-81.08381,36.69882,S2,NONE
-81.01444,36.85305,S2,UNCLEAR
-81.01445,36.85177,S2,UNCLEAR
-82.30532,35.58367,"PL,S2",Building
-82.30479,35.58382,"PL,S2",Building
-82.27756,35.51183,"PL,UA",Road
-82.27695,35.51169,"PL,UA",Road
-82.29745,35.58221,PL,Road
-82.29286,35.58279,PL,Road
-82.32525,35.58052,S2,NONE
-82.30911,35.57423,"PL,S2",Road
-82.31504,35.56774,"PL,S2",Road
-82.27885,35.76727,"PL,S2",River
-82.27816,35.76606,"PL,S2",River
-82.31980,35.75927,S2,River
-82.31515,35.76032,S2,River
-82.31945,35.75427,S2,River
-82.33901,35.44764,"PL,S2",NONE
-82.32162,35.74049,S2,UNCLEAR
-82.32185,35.74195,S2,River
-82.35181,35.44425,PL,NONE
-82.32196,35.76701,S2,UNCLEAR
-82.36964,35.44428,"PL,S2",NONE
-82.31298,35.76592,S2,UNCLEAR
-82.35825,35.43838,"PL,S2",Road
-82.41008,35.40128,"PL,S2",Building
-82.31462,35.76262,S2,River
-82.31362,35.76310,S2,River
-82.31420,35.76112,S2,River
-82.31451,35.75886,S2,River
-82.50118,35.52279,"PL,S2",NONE
-82.32728,35.76866,S2,River
-82.32809,35.77007,S2,River
-82.32843,35.77100,S2,River
-82.32561,35.77149,S2,River
-82.32501,35.77312,S2,River
-82.32620,35.77364,S2,River
-82.32367,35.77601,S2,UNCLEAR
-82.32304,35.79320,S2,UNCLEAR
-82.31981,35.79536,S2,UNCLEAR
-82.32624,35.79625,S2,UNCLEAR
-82.38764,35.48144,"PL,S2",Road
-82.33461,35.77754,S2,UNCLEAR
-82.29014,35.78796,S2,Various
-82.28948,35.78796,S2,Various
-82.28841,35.78858,S2,Various
-82.29413,35.78300,S2,Other
-82.29230,35.81072,S2,UNCLEAR
-82.33477,35.81438,S2,Various
-82.33311,35.81639,S2,Various
-82.33583,35.83011,S2,Road
-82.33532,35.83129,S2,Road
-82.34179,35.81974,S2,Road
-82.32833,35.84466,S2,Various
-83.05276,36.14853,S2,UNCLEAR
-82.84335,36.20971,S2,Road
-81.76730,35.99315,"S2,UA",NONE
-82.90412,36.15466,S2,Road
-82.36279,35.24078,S2,NONE
-82.38885,35.24942,"PL,UA",UNCLEAR
-82.38917,35.24997,"PL,UA",UNCLEAR
-82.38971,35.25068,"PL,UA",UNCLEAR
-82.39036,35.25250,"PL,UA",UNCLEAR
-82.29022,35.28276,"NO,S2",River
-82.32588,35.89029,S2,NONE
-82.32039,35.89132,S2,River
-82.25670,35.39437,S2,NONE
-82.16132,35.76646,"S2,UA",Road
-82.18561,35.76233,"S2,UA",NONE
-82.17093,35.76620,S2,Road
-82.17498,35.76417,S2,NONE
-82.18784,35.74538,"S2,UA",Road
-82.42808,36.06232,"PL,S2",River
-81.68972,36.20402,FO,Road
-81.69006,36.20351,FO,Other
-81.75582,36.25385,"FO,S2",Other
-81.24525,36.35890,S2,Road
-81.32730,36.55552,S2,River
-81.54276,36.56226,S2,UNCLEAR
-82.29490,35.43641,UA,River
-81.68693,36.49944,S2,River
-81.68965,36.49456,S2,UNCLEAR
-82.29327,35.43179,"S2,UA",River
-82.29199,35.43197,"S2,UA",River
-81.65660,36.44873,S2,River
-82.29002,35.43784,UA,Other
-81.61864,36.49686,S2,River
-81.60833,36.50714,S2,UNCLEAR
-81.60730,36.52028,S2,Various
-81.60961,36.51716,S2,River
-82.31350,35.46051,UA,River
-81.58095,36.52401,S2,Road
-82.36496,35.70701,UA,NONE
-82.30901,35.45881,"S2,UA",NONE
-81.57691,36.46504,S2,Road
-82.30854,35.46062,"S2,UA",UNCLEAR
-82.30085,35.45662,UA,River
-81.56022,36.16928,S2,River
-81.38377,36.24012,S2,Road
-82.29008,35.45137,UA,River
-82.29035,35.45154,"S2,UA",Other
-82.33952,35.98218,"PL,S2",UNCLEAR
-82.29093,35.45165,"S2,UA",Road
-81.46885,36.23235,S2,River
-82.28880,35.44862,UA,NONE
-82.15927,36.03461,"PL,S2",UNCLEAR
-82.40379,35.70033,S2,Other
-82.28428,35.44950,UA,Building
-81.36513,36.23322,S2,UNCLEAR
-81.36550,36.23421,S2,UNCLEAR
-82.28656,35.44817,UA,Various
-82.24240,35.92840,S2,Road
-82.24180,35.92822,"PL,S2",Road
-82.23991,35.89080,S2,Road
-82.23937,35.89321,S2,Road
-82.24589,35.89716,"PL,S2",NONE
-82.23163,35.88090,S2,Road
-82.23289,35.87968,"PL,S2",Road
-82.23790,35.88016,PL,NONE
