Longitude,Latitude,Source,Impact
-82.29567,35.47615,"PL,S2,UA",Various
-81.76236,36.27445,MR,Other
-82.55219,35.56683,PL,Road
-82.24820,35.43979,MR,Building
-82.31524,35.45851,UA,Road
-82.31504,35.45821,UA,Road
-82.31573,35.45698,UA,Road
-81.62977,36.20969,MR,Road
-82.64672,35.20789,"PL,S2",UNCLEAR
-82.62711,35.26189,"PL,S2",NONE
-81.79284,36.26424,"MR,PC",Building
-82.34621,35.22680,"PL,S2",Other
-82.32821,35.22315,"PL,S2",Road
-82.33190,35.17743,"PL,S2",Other
-82.33475,35.17695,"PL,S2",Other
-82.34842,35.17352,"PL,S2",Other
-82.35482,35.17542,"PL,S2",NONE
-82.35384,35.16668,"PL,S2",NONE
-82.35881,35.14923,"PL,S2",NONE
-82.12980,35.74701,"PL,S2",Road
-82.57558,35.13089,"PL,S2",UNCLEAR
-83.52912,35.77452,PL,UNCLEAR
-82.08455,35.80385,"PL,S2",Road
-83.52782,35.77572,PL,Other
-82.08491,35.80351,"PL,S2",Various
-83.53128,35.77783,"PL,S2",Building
-82.08805,36.02816,"PL,S2",UNCLEAR
-82.27321,35.31286,"PL,S2",Other
-82.29108,35.31175,"PL,S2",NONE
-82.29582,35.30973,"PL,S2",NONE
-82.32467,35.97741,"PL,S2",NONE
-83.53222,35.79170,PL,NONE
-82.45007,35.34791,"PL,S2",Road
-83.51098,35.79871,"PL,S2",UNCLEAR
-82.18770,35.80798,"PL,S2",NONE
-82.29441,35.82884,"MR,PL,S2",Building
-81.62236,36.17811,FO,Building
-82.32643,35.84656,"PL,S2,UA",Various
-82.51855,35.43018,"PL,S2",Other
-82.24825,35.46187,"NO,PL,S2",Various
-81.21492,36.34740,S2,UNCLEAR
-81.73664,36.26517,"MR,S2",Various
-82.34693,35.85452,"MR,PL,S2,UA",Building
-81.75313,36.25874,S2,Other
-82.35903,35.94044,"PL,S2",Building
-81.68505,36.12642,"FO,S2",Road
-81.68672,36.12425,"S2,UA",NONE
-82.36206,35.95219,"PL,S2",Other
-82.24851,35.63697,S2,Road
-82.22723,35.66550,"PL,S2",River
-82.37012,35.94395,"PL,S2",Building
-82.26626,35.60295,PL,NONE
-82.25883,35.65633,"PL,S2",Road
-83.47531,35.76504,PL,UNCLEAR
-83.47466,35.76522,PL,UNCLEAR
-83.47299,35.76573,PL,UNCLEAR
-82.25598,35.65815,"PL,S2",Various
-82.25490,35.65100,PL,Road
-81.67898,36.45861,S2,River
-82.34081,35.67596,"PL,S2",UNCLEAR
-82.33599,35.57219,"PL,S2,UA",Various
-82.33420,35.56714,UA,Various
-82.33750,35.56022,"PL,UA",Various
-82.35091,35.55829,"FO,PL",Road
-82.38152,35.57697,"PL,S2",Road
-82.50392,35.64989,PL,NONE
-82.24823,35.73453,"PL,S2,UA",NONE
-82.31763,35.72370,"PL,S2",River
-82.30143,35.79219,"PL,S2",NONE
-82.29128,35.75893,"PL,S2",NONE
-82.17038,35.74546,PL,River
-81.73967,36.27596,S2,Various
-82.30856,35.46996,"S2,UA",Road
-82.30725,35.47085,UA,Building
